,08-Jan-2026
The Nifty witnessed an intraday movement of about 274.75 points.The closing index was 1.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 108954.13
, Traded Quantity (in Lakhs), 48825.02
, Number of Trades, 35426819
, Total Market Capitalisation (Rs. Crores), 47010495.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     26140.75,     26106.50,     26133.20,     25858.45,     25876.85,-263.90
,NIFTY50 EQL Wgt,     33694.15,     33664.35,     33669.80,     33248.15,     33282.20,-411.95
,NIFTY100 EQL Wgt,     34485.40,     34460.00,     34470.85,     33853.25,     33896.45,-588.95
,NIFTY100 LowVol30,     21373.05,     21340.70,     21340.70,     21125.40,     21141.20,-231.85
,NIFTY Alpha 50,     51064.45,     51064.30,     51064.30,     49985.05,     50076.35,-988.10
,NIFTY MIDCAP 150,     22606.50,     22604.40,     22607.20,     22150.85,     22180.55,-425.95
,NIFTY SMLCAP 50,      8774.90,      8786.60,      8794.35,      8584.45,      8605.10,-169.80
,NIFTY SMLCAP 250,     16816.00,     16821.55,     16832.10,     16459.75,     16489.05,-326.95
,NIFTY MIDSML 400,     20468.60,     20469.70,     20471.40,     20049.75,     20078.75,-389.85
,NIFTY200 QUALTY30,     21687.90,     21666.00,     21709.00,     21380.45,     21405.50,-282.40
,Nifty FinSrv25 50,     30658.80,     30639.60,     30715.75,     30338.30,     30418.60,-240.20
,NIFTY AlphaLowVol,     27486.70,     27448.55,     27452.05,     27173.75,     27208.25,-278.45
,Nifty200Momentm30,     31596.80,     31594.65,     31595.40,     31124.40,     31181.40,-415.40
,Nifty100ESGSecLdr,      4389.75,      4384.85,      4388.25,      4335.25,      4339.70,-50.05
,NIFTY100 ESG,      5260.75,      5256.85,      5258.70,      5186.60,      5192.70,-68.05
,NIFTY M150 QLTY50,     24271.40,     24275.60,     24301.25,     23877.05,     23908.25,-363.15
,NIFTY INDIA MFG,     15665.25,     15649.90,     15653.90,     15378.50,     15394.30,-270.95
,Nifty200 Alpha 30,     25527.50,     25527.70,     25534.50,     25076.65,     25106.40,-421.10
,NiftyM150Momntm50,     62777.55,     62746.00,     62752.80,     61525.20,     61603.15,-1174.40
,Nifty50 USD,     10075.35,     10075.35,     10153.70,      9951.40,      9959.30,-116.05
,Nifty IT,     38688.80,     38686.55,     38728.65,     37853.75,     37920.30,-768.50
,Nifty Next 50,     70690.60,     70633.90,     70648.35,     69077.50,     69196.10,-1494.50
,Nifty Bank,     59990.85,     59893.15,     60112.85,     59564.80,     59686.50,-304.35
,NIFTY MIDCAP 100,     61424.70,     61415.55,     61437.25,     60144.95,     60222.55,-1202.15
,Nifty 500,     24016.60,     23996.20,     24010.45,     23657.35,     23680.10,-336.50
,Nifty 100,     26781.80,     26748.95,     26772.50,     26439.70,     26462.60,-319.20
